EV_Charging_Station_Name,Charging_Location_ID,EV_Station_Working_Status,City_Name,Location_Area_Name,CPO_Operator,Vehicle_Name,Vehicle_Category,Session_ID,Charger_Type,Charging_Mode,Charger_Power,Connector_Type,Connector_Code,Currency,Price_per_kWh,Session_Start_Datetime,Session_End_Datetime,Duration,Duration_Minutes,Energy_Qty_kWh,Vehicle_Make_Model,Vehicle_Type,Vehicle_Battery_kWh,SOC_Start_%,SOC_End_%,Payment_Method,Payment_Status,Session_Energy_Amount,Session_Fee,Untaxed_Amount,Tax_Rate_%,Tax_Amount,Session_Total,Meter_Start_kWh,Meter_End_kWh,Session_Status,Idle_Time_Minutes,Tariff_Type
Zeon Charging - UrbanCharge Station - Guindy,RL01001,Open Soon,Chennai,Guindy,Zeon Charging,Ola S1 Pro,Electric 2-Wheeler,SES-20260815-000001,AC,AC Charging,3.3 kW,Type 2,CN4,USD,0.43,2026-08-15 14:58:00,2026-08-15 18:03:00,03:05:00,185,9.25,Chevrolet Bolt EV,EV,4,29,100,Wallet,Paid,3.98,2,5.98,10,0.6,6.58,317932.28,317941.53,Completed,13,Time + Energy
Charge Zone - Urban Nest Residency - Vyttila,RL01002,Available,Kochi,Vyttila,Charge Zone,Ather Rizta,Electric 2-Wheeler,SES-20260820-000002,AC,AC Charging,11 kW,J1772,CN3,USD,0.43,2026-08-20 04:07:00,2026-08-20 06:10:00,02:03:00,123,17.48,Hyundai Ioniq 5,EV,3.7,33,100,UPI,Pending,7.52,1,8.52,10,0.85,9.37,490906.17,490923.65,Completed,23,Time + Energy
Zeon Charging - Iron Hill Apartments - Bejai,RL01003,Available,Mangaluru,Bejai,Zeon Charging,Ola S1 Air,Electric 2-Wheeler,SES-20260823-000003,AC,AC Charging,,Type 2,CN3,USD,0.42,2026-08-23 04:46:00,2026-08-23 06:48:00,02:02:00,122,28.52,Tesla Model 3,EV,3,37,100,Network App,Paid,11.98,0,11.98,0,0,11.98,310940.12,310968.64,Completed,5,Time + Energy
ChargeMOD - SmartCharge Point - Kakkanad,RL01004,Available,Kochi,Kakkanad,ChargeMOD,Kia EV6,Electric 4-Wheeler,SES-20260901-000004,AC,AC Charging,22 kW,J1772,CN1,USD,0.33,2026-09-01 20:10:00,2026-09-01 21:53:00,01:43:00,103,30.57,Tata Nexon EV,EV,77.4,25,64,UPI,Paid,10.09,0.5,10.59,8,0.85,11.44,233158.34,233188.91,Completed,2,Energy
Tata Power EZ Charge - EV Mobility Hub - Velachery,RL01005,Open Soon,Chennai,Velachery,Tata Power EZ Charge,Ola S1 Pro,Electric 2-Wheeler,SES-20260729-000005,AC,AC Charging,11 kW,Type 2,CN1,CAD,0.25,2026-07-29 10:47:00,2026-07-29 11:39:00,00:52:00,52,7.07,Tata Nexon EV,EV,4,44,100,UPI,Paid,1.77,0,1.77,5,0.09,1.86,20790.42,20797.49,Completed,23,Energy
Charge Zone - Iron Hill Apartments - Banjara Hills,RL01006,Open Soon,Hyderabad,Banjara Hills,Charge Zone,BYD Atto 3,Electric 4-Wheeler,SES-20260816-000006,DC,DC Fast Charging,100 kW,CCS2,CN3,CAD,0.25,2026-08-16 00:18:00,2026-08-16 00:45:00,00:27:00,27,32.04,Chevrolet Bolt EV,EV,60.5,44,97,Bank Card,Paid,8.01,0,8.01,15,1.2,9.21,43461.18,43493.22,Completed,25,Energy
Tata Power EZ Charge - Grand Residency - Sira Road,RL01007,Available,Tumakuru,Sira Road,Tata Power EZ Charge,MG Windsor EV,Electric 4-Wheeler,SES-20260816-000007,AC,AC Charging,22 kW,J1772,CN2,CAD,0.23,2026-08-16 09:23:00,2026-08-16 11:22:00,01:59:00,119,26.72,Tesla Model Y,EV,38,15,85,UPI,Paid,6.15,0,6.15,13,0.8,6.94,387340.16,387366.88,Completed,21,Energy
Zeon Charging - Premium Auto Care - Pattom,RL01008,Available,Thiruvananthapuram,Pattom,Zeon Charging,Tata Nexon EV,Electric 4-Wheeler,SES-20260813-000008,DC,DC Fast Charging,250 kW,CHAdeMO,CN4,CAD,0.29,2026-08-13 05:12:00,2026-08-13 05:38:00,00:26:00,26,79.64,Ford Mustang Mach-E,EV,40.5,42,100,UPI,Paid,23.1,0,23.1,15,3.46,26.56,162467.58,162547.22,Completed,9,Energy + Session Fee
ChargeMOD - Metro Business Park - Thavakkara,RL01009,Available,Kannur,Thavakkara,ChargeMOD,Hyundai Creta Electric,Electric 4-Wheeler,SES-20260827-000009,AC,AC Charging,3.3 kW,Type 2,CN4,CAD,0.26,2026-08-27 05:31:00,2026-08-27 08:30:00,02:59:00,179,7.98,MG ZS EV,EV,51.4,44,60,Bank Card,Paid,2.07,0.5,2.57,5,0.13,2.7,272372.13,272380.11,Completed,30,Energy
Statiq - PowerGrid EV Hub - Talap,RL01010,Available,Kannur,Talap,Statiq,Ather Rizta,Electric 2-Wheeler,SES-20260802-000010,DC,DC Fast Charging,25 kW,CCS2,CN1,CAD,0.29,2026-08-02 20:11:00,2026-08-02 21:31:00,01:20:00,80,18.95,Nissan Leaf,EV,3.7,32,100,UPI,Paid,5.5,0,5.5,13,0.71,6.21,32784.09,32803.04,Completed,11,Time + Energy
Statiq - PowerGrid EV Hub - B.M. Road,RL01011,Available,Hassan,B.M. Road,Statiq,TVS iQube,Electric 2-Wheeler,SES-20260728-000011,AC,AC Charging,3.3 kW,J1772,CN4,CAD,0.25,2026-07-28 07:09:00,2026-07-28 09:48:00,02:39:00,159,5.19,Rivian R1T,EV,5.3,39,100,Bank Card,Paid,1.3,2,3.3,13,0.43,3.73,182828.63,182833.82,Completed,23,Energy
Statiq - Business Bay - Anna Nagar,RL01012,Available,Madurai,Anna Nagar,Statiq,Mahindra XEV 9e,Electric 4-Wheeler,SES-20260809-000012,AC,AC Charging,7 kW,Type 1,CN1,CAD,0.26,2026-08-09 15:26:00,2026-08-09 18:07:00,02:41:00,161,13.09,Ford Mustang Mach-E,EV,79,32,49,Network App,Paid,3.4,0,3.4,13,0.44,3.85,475276.06,475289.15,Completed,15,Energy
Rebolt - Grand Residency - Jayanagar,RL01013,Available,Bengaluru,Jayanagar,Rebolt,Tata Punch EV,Electric 4-Wheeler,SES-20260802-000013,DC,DC Fast Charging,100 kW,CCS2,CN4,CAD,0.24,2026-08-02 07:15:00,2026-08-02 08:07:00,00:52:00,52,64.13,BYD Atto 3,EV,35,62,100,Network App,Paid,15.39,0,15.39,13,2,17.39,322209.57,322273.7,Completed,28,Energy
Ather Grid - Green Valley Apartments - Brough Road,RL01014,Available,Erode,Brough Road,Ather Grid,Tata Punch EV,Electric 4-Wheeler,SES-20260807-000014,AC,AC Charging,22 kW,Type 2,CN3,CAD,0.27,2026-08-07 02:03:00,2026-08-07 04:00:00,01:57:00,117,35.84,Ford Mustang Mach-E,EV,35,8,88,RFID,Paid,9.68,0,9.68,15,1.45,11.13,353564,353599.84,Completed,18,Energy + Session Fee
Jio-bp pulse - Tech Park Charging Hub - Vidyanagar,RL01015,Available,Shivamogga,Vidyanagar,Jio-bp pulse,Tata Tiago EV,Electric 4-Wheeler,SES-20260828-000015,AC,AC Charging,11 kW,J1772,CN3,CAD,0.24,2026-08-28 09:55:00,2026-08-28 12:32:00,02:37:00,157,21.37,BMW i4,EV,24,62,100,UPI,Paid,5.13,0,5.13,13,0.67,5.8,262712.63,262734,Completed,6,Energy
Rebolt - Gateway Charging Station - Seelanaickenpatti,RL01016,Available,Salem,Seelanaickenpatti,Rebolt,Tata Nexon EV,Electric 4-Wheeler,SES-20260820-000016,DC,DC Fast Charging,25 kW,CCS2,CN3,USD,0.31,2026-08-20 04:29:00,2026-08-20 05:55:00,01:26:00,86,21.18,Chevrolet Bolt EV,EV,40.5,49,100,Bank Card,Paid,6.57,0,6.57,8,0.53,7.09,469569.07,469590.25,Interrupted,0,Energy
Tata Power EZ Charge - EcoDrive Hub - MVP Colony,RL01017,Available,Visakhapatnam,MVP Colony,Tata Power EZ Charge,Tata Punch EV,Electric 4-Wheeler,SES-20260727-000017,DC,DC Fast Charging,50 kW,CHAdeMO,CN1,USD,0.31,2026-07-27 23:06:00,2026-07-28 00:26:00,01:20:00,80,40.34,Tata Nexon EV,EV,35,57,100,Bank Card,Paid,12.51,0,12.51,8,1,13.51,202753.55,202793.89,Interrupted,0,Energy
Jio-bp pulse - Lakeview Apartments - Shahapur,RL01018,Available,Belagavi,Shahapur,Jio-bp pulse,Tesla Model Y,Electric 4-Wheeler,SES-20260806-000018,DC,DC Fast Charging,150 kW,CCS2,CN2,CAD,0.39,2026-08-06 17:31:00,2026-08-06 18:23:00,00:52:00,52,76.36,Hyundai Ioniq 5,EV,75,13,93,Network App,Paid,29.78,2,31.78,15,4.77,36.55,350806.11,350882.47,Completed,23,Energy + Session Fee
Charge Zone - City Square EV Hub - Gachibowli,RL01019,Available,Hyderabad,Gachibowli,Charge Zone,Hyundai Ioniq 5,Electric 4-Wheeler,SES-20260809-000019,AC,AC Charging,22 kW,Type 2,CN2,CAD,0.28,2026-08-09 15:13:00,2026-08-09 18:07:00,02:54:00,174,51.88,Ford Mustang Mach-E,EV,72.6,11,82,RFID,Paid,14.53,0,14.53,15,2.18,16.71,147547.24,147599.12,Completed,22,Energy
Ather Grid - Gateway Charging Station - Talap,RL01020,Open Soon,Kannur,Talap,Ather Grid,MG Windsor EV,Electric 4-Wheeler,SES-20260814-000020,DC,DC Fast Charging,250 kW,CCS2,CN4,CAD,0.34,2026-08-14 08:21:00,2026-08-14 09:09:00,00:48:00,48,146.03,BYD Atto 3,EV,38,9,89,Bank Card,Paid,49.65,0,49.65,13,6.45,56.1,78157.82,78303.85,Completed,9,Energy
Rebolt - SmartCharge Point - Nungambakkam,RL01021,Temp Closed,Chennai,Nungambakkam,Rebolt,Tata Tiago EV,Electric 4-Wheeler,SES-20260809-000021,DC,DC Fast Charging,150 kW,CHAdeMO,CN4,CAD,0.37,2026-08-09 03:50:00,2026-08-09 04:57:00,01:07:00,67,147.45,MG ZS EV,EV,24,58,100,UPI,Paid,54.56,0.5,55.06,13,7.16,62.21,15964.82,16112.27,Completed,17,Energy + Session Fee
Statiq - Central Plaza - Gandhipuram,RL01022,Available,Coimbatore,Gandhipuram,Statiq,Tesla Model 3,Electric 4-Wheeler,SES-20260803-000022,AC,AC Charging,22 kW,Type 1,CN1,USD,0.45,2026-08-03 03:53:00,2026-08-03 05:29:00,01:36:00,96,27.5,Tesla Model Y,EV,60,48,94,Network App,Paid,12.38,0,12.38,10,1.24,13.61,407992.87,408020.37,Completed,26,Energy + Session Fee
Zeon Charging - Business Bay - Bellandur,RL01023,Available,Bengaluru,Bellandur,Zeon Charging,BYD e6,Electric 4-Wheeler,SES-20260721-000023,DC,DC Fast Charging,250 kW,CCS2,CN4,USD,0.4,2026-07-21 11:25:00,2026-07-21 12:51:00,01:26:00,86,293.61,Tata Nexon EV,EV,71.7,24,100,RFID,Paid,117.44,0.5,117.94,10,11.79,129.74,398326.94,398620.55,Completed,13,Energy + Session Fee
Zeon Charging - Tech Park Charging Hub - Armoor Road,RL01024,Available,Nizamabad,Armoor Road,Zeon Charging,TVS iQube,Electric 2-Wheeler,SES-20260831-000024,AC,AC Charging,11 kW,J1772,CN4,USD,0.36,2026-08-31 22:41:00,2026-09-01 00:38:00,01:57:00,117,13.17,Chevrolet Bolt EV,EV,5.3,23,100,RFID,Paid,4.74,0.5,5.24,5,0.26,5.5,291461.84,291475.01,Interrupted,0,Time + Energy
Ather Grid - Gateway Charging Station - Gajuwaka,RL01025,Open Soon,Visakhapatnam,Gajuwaka,Ather Grid,MG Windsor EV,Electric 4-Wheeler,SES-20260721-000025,AC,AC Charging,11 kW,Type 2,CN2,CAD,0.32,2026-07-21 06:07:00,2026-07-21 06:29:00,00:22:00,22,3.47,Polestar 2,EV,38,25,34,Wallet,Paid,1.11,0,1.11,13,0.14,1.25,230589.18,230592.65,Completed,13,Energy
Statiq - EV Mobility Hub - Bejai,RL01026,Available,Mangaluru,Bejai,Statiq,Hyundai Ioniq 5,Electric 4-Wheeler,SES-20260819-000026,AC,AC Charging,3.3 kW,J1772,CN4,CAD,0.33,2026-08-19 16:29:00,2026-08-19 19:17:00,02:48:00,168,8.04,Tesla Model Y,EV,72.6,65,76,Network App,Paid,2.65,2,4.65,13,0.6,5.26,369377.84,369385.88,Completed,21,Energy
Ather Grid - SmartCharge Point - Marathahalli,RL01027,Available,Bengaluru,Marathahalli,Ather Grid,Tata Nexon EV,Electric 4-Wheeler,SES-20260828-000027,DC,DC Fast Charging,150 kW,CCS2,CN1,USD,0.48,2026-08-28 02:56:00,2026-08-28 04:22:00,01:26:00,86,177.33,Hyundai Ioniq 5,EV,40.5,61,100,UPI,Paid,85.12,1,86.12,0,0,86.12,325332.93,325510.26,Cancelled,0,Time + Energy
Charge Zone - SmartCharge Point - Tilakwadi,RL01028,Open Soon,Belagavi,Tilakwadi,Charge Zone,Bajaj Chetak EV,Electric 2-Wheeler,SES-20260818-000028,AC,AC Charging,3.3 kW,J1772,CN2,USD,0.3,2026-08-18 14:57:00,2026-08-18 16:01:00,01:04:00,64,2.97,MG ZS EV,EV,3.2,47,100,Network App,Paid,0.89,0.5,1.39,10,0.14,1.53,161923.53,161926.5,Interrupted,0,Energy + Session Fee
Charge Zone - EV Mobility Hub - Keshwapur,RL01029,Open Soon,Hubballi,Keshwapur,Charge Zone,Citroen eC3 Aircross,Electric 4-Wheeler,SES-20260817-000029,AC,AC Charging,3.3 kW,J1772,CN2,USD,0.42,2026-08-17 15:36:00,2026-08-17 17:36:00,02:00:00,120,4.35,Polestar 2,EV,29.2,22,37,Wallet,Paid,1.83,2,3.83,5,0.19,4.02,388593.21,388597.56,Completed,20,Energy
Jio-bp pulse - EcoDrive Hub - Hebbal,RL01030,Available,Mysuru,Hebbal,Jio-bp pulse,Tesla Model Y,Electric 4-Wheeler,SES-20260817-000030,AC,AC Charging,7 kW,Type 2,CN2,USD,0.46,2026-08-17 10:45:00,2026-08-17 12:46:00,02:01:00,121,10.99,Kia EV6,EV,75,40,55,Bank Card,Paid,5.06,2,7.06,5,0.35,7.41,197089.03,197100.02,Completed,4,Energy
Zeon Charging - Green Valley Apartments - Renigunta Road,RL01031,Available,Tirupati,Renigunta Road,Zeon Charging,MG Comet EV,Electric 4-Wheeler,SES-20260802-000031,AC,AC Charging,7 kW,J1772,CN3,USD,0.36,2026-08-02 18:29:00,2026-08-02 21:11:00,02:42:00,162,16.95,Tesla Model Y,EV,17.3,45,100,UPI,Paid,6.1,0.5,6.6,10,0.66,7.26,128727.11,128744.06,Completed,8,Energy
ChargeMOD - Central Plaza - Vijayanagar,RL01032,Available,Hassan,Vijayanagar,ChargeMOD,Tata Tigor EV,Electric 4-Wheeler,SES-20260901-000032,DC,DC Fast Charging,50 kW,CCS2,CN1,USD,0.47,2026-09-01 02:33:00,2026-09-01 03:02:00,00:29:00,29,16.33,Kia EV6,EV,26,19,82,Network App,Paid,7.68,0,7.68,10,0.77,8.44,113363.48,113379.81,Completed,16,Time + Energy
Statiq - EcoDrive Hub - Fort Kochi,RL01033,Available,Kochi,Fort Kochi,Statiq,Kia EV6,Electric 4-Wheeler,SES-20260819-000033,AC,AC Charging,11 kW,Type 2,CN4,USD,0.33,2026-08-19 20:38:00,2026-08-19 21:42:00,01:04:00,64,6.58,Tata Nexon EV,EV,77.4,11,20,Bank Card,Paid,2.17,0,2.17,10,0.22,2.39,200802.9,200809.48,Completed,18,Energy + Session Fee
Statiq - GreenRoute Charging Point - Punkunnam,RL01034,Available,Thrissur,Punkunnam,Statiq,TVS iQube,Electric 2-Wheeler,SES-20260817-000034,AC,AC Charging,22 kW,Type 1,CN3,USD,0.49,2026-08-17 22:45:00,2026-08-17 23:33:00,00:48:00,48,11.79,BMW i4,EV,5.3,14,94,Network App,Paid,5.78,2,7.78,8,0.62,8.4,54396.71,54408.5,Completed,25,Energy + Session Fee
Zeon Charging - City Square EV Hub - Anna Nagar,RL01035,Available,Chennai,Anna Nagar,Zeon Charging,Kia EV6,Electric 4-Wheeler,SES-20260806-000035,AC,AC Charging,22 kW,Type 2,CN2,USD,0.42,2026-08-06 01:35:00,2026-08-06 02:58:00,01:23:00,83,27.25,Tata Nexon EV,EV,77.4,24,59,Network App,Paid,11.44,0,11.44,10,1.14,12.59,483400.83,483428.08,Completed,21,Time + Energy
Rebolt - Iron Hill Apartments - Hebbal,RL01036,Available,Bengaluru,Hebbal,Rebolt,Kia EV6,Electric 4-Wheeler,SES-20260903-000036,DC,DC Fast Charging,100 kW,CCS2,CN4,USD,0.41,2026-09-03 09:37:00,2026-09-03 10:05:00,00:28:00,28,33.41,Ford Mustang Mach-E,EV,77.4,19,62,Network App,Paid,13.7,1,14.7,5,0.73,15.43,61337.93,61371.34,In Progress,0,Time + Energy
Kazam - Lakeview Apartments - Tiruchanoor Road,RL01037,Temp Closed,Tirupati,Tiruchanoor Road,Kazam,Tata Punch EV,Electric 4-Wheeler,SES-20260826-000037,DC,DC Fast Charging,250 kW,CCS2,CN3,USD,0.41,2026-08-26 14:33:00,2026-08-26 14:45:00,00:12:00,12,33.88,Tesla Model Y,EV,35,56,100,Wallet,Paid,13.89,0,13.89,10,1.39,15.28,395097.51,395131.39,Completed,14,Energy
Zeon Charging - SmartCharge Point - Technopark,RL01038,Available,Thiruvananthapuram,Technopark,Zeon Charging,Ather Rizta,Electric 2-Wheeler,SES-20260820-000038,DC,DC Fast Charging,25 kW,CCS2,CN4,CAD,0.29,2026-08-20 13:55:00,2026-08-20 15:18:00,01:23:00,83,29.35,Hyundai Ioniq 5,EV,3.7,45,100,Bank Card,Pending,8.51,0,8.51,5,0.43,8.94,238026.74,238056.09,Completed,19,Energy
Bolt.Earth - City Square EV Hub - HSR Layout,RL01039,Available,Bengaluru,HSR Layout,Bolt.Earth,Hyundai Ioniq 5,Electric 4-Wheeler,SES-20260826-000039,AC,AC Charging,3.3 kW,Type 2,CN2,USD,0.44,2026-08-26 15:48:00,2026-08-26 17:58:00,02:10:00,130,4.92,Nissan Leaf,EV,72.6,52,59,Bank Card,Paid,2.16,2,4.16,8,0.33,4.5,135473.5,135478.42,Interrupted,0,Energy
Rebolt - EcoDrive Hub - Vidyanagar,RL01040,Available,Hubballi,Vidyanagar,Rebolt,Citroen eC3,Electric 4-Wheeler,SES-20260731-000040,DC,DC Fast Charging,25 kW,CCS2,CN4,USD,0.49,2026-07-31 23:56:00,2026-08-01 01:05:00,01:09:00,69,25.34,Rivian R1T,EV,29.2,65,100,Bank Card,Paid,12.42,2,14.42,10,1.44,15.86,153219.51,153244.85,Completed,2,Energy
Rebolt - Lakeview Apartments - Talap,RL01041,Available,Kannur,Talap,Rebolt,Tesla Model Y,Electric 4-Wheeler,SES-20260816-000041,AC,AC Charging,3.3 kW,J1772,CN2,CAD,0.29,2026-08-16 14:32:00,2026-08-16 16:03:00,01:31:00,91,3.35,Hyundai Ioniq 5,EV,75,57,61,Bank Card,Paid,0.97,0,0.97,13,0.13,1.1,466386.2,466389.55,Completed,1,Energy
Rebolt - GreenRoute Charging Point - B.H. Road,RL01042,Available,Tumakuru,B.H. Road,Rebolt,Tata Punch EV,Electric 4-Wheeler,SES-20260816-000042,AC,AC Charging,11 kW,J1772,CN3,USD,0.42,2026-08-16 16:01:00,2026-08-16 16:49:00,00:48:00,48,7.5,Chevrolet Bolt EV,EV,35,54,75,Wallet,Paid,3.15,0,3.15,8,0.25,3.4,200094.72,200102.22,Cancelled,0,Energy
Rebolt - Business Bay - Saraswathipuram,RL01043,Available,Mysuru,Saraswathipuram,Rebolt,Citroen eC3,Electric 4-Wheeler,SES-20260729-000043,AC,AC Charging,22 kW,J1772,CN3,USD,0.3,2026-07-29 08:08:00,2026-07-29 08:40:00,00:32:00,32,9.31,Tesla Model 3,EV,29.2,33,65,Wallet,Paid,2.79,0.5,3.29,0,0,3.29,395492.72,395502.03,Completed,18,Time + Energy
Tata Power EZ Charge - Green Valley Apartments - Ayyanthole,RL01044,Available,Thrissur,Ayyanthole,Tata Power EZ Charge,Tata Punch EV,Electric 4-Wheeler,SES-20260729-000044,AC,AC Charging,3.3 kW,Type 1,CN4,USD,0.38,2026-07-29 13:10:00,2026-07-29 14:50:00,01:40:00,100,4.29,Tata Nexon EV,EV,35,47,59,UPI,Paid,1.63,0.5,2.13,5,0.11,2.24,358481.26,358485.55,Completed,21,Energy
Jio-bp pulse - Metro Business Park - OMR,RL01045,Available,Chennai,OMR,Jio-bp pulse,Kia EV6,Electric 4-Wheeler,SES-20260805-000045,AC,AC Charging,22 kW,Type 2,CN1,CAD,0.26,2026-08-05 11:04:00,2026-08-05 11:46:00,00:42:00,42,11.14,Ford Mustang Mach-E,EV,77.4,52,66,Wallet,Paid,2.9,1,3.9,13,0.51,4.4,93465.74,93476.88,Completed,29,Energy
